ROOT	WORD	SEGMENTATION	ANALYSIS	FREQ
тээвэр	тээвэрт	тээвэр-т	N-DAT;SG	1644
тээвэр	тээвэртэй	тээвэр-тэй	N-COM;SG	234
түүх	түүхийн	түүх-ийн	N-GEN;SG	17687
түүх	түүхийг	түүх-ийг	N-ACC;SG	13687
түүх	түүхээс	түүх-ээс	N-ABL;SG	2102
түүх	түүхээр	түүх-ээр	N-INS;SG	895
түүх	түүхтэй	түүх-тэй	N-COM;SG	15031
түүх	түүхээ	түүх-ээ	N-VOC;SG	2664
цочрол	цочролын	цочрол-ын	N-GEN;SG	57
цочрол	цочролд	цочрол-д	N-DAT;SG	453
цочрол	цочролыг	цочрол-ыг	N-ACC;SG	36
цочрол	цочролоос	цочрол-оос	N-ABL;SG	64
цочрол	цочролоор	цочрол-оор	N-INS;SG	4
цочрол	цочролтой	цочрол-той	N-COM;SG	3
цочрол	цочролоо	цочрол-оо	N-VOC;SG	1
шидэлт	шидэлтийн	шидэлт-ийн	N-GEN;SG	394
шидэлт	шидэлтийг	шидэлт-ийг	N-ACC;SG	91
шидэлт	шидэлтээс	шидэлт-ээс	N-ABL;SG	13
шидэлт	шидэлтээр	шидэлт-ээр	N-INS;SG	29
шидэлт	шидэлттэй	шидэлт-тэй	N-COM;SG	24
шидэлт	шидэлтээ	шидэлт-ээ	N-VOC;SG	49
хаялт	хаялтын	хаялт-ын	N-GEN;SG	443
хаялт	хаялтыг	хаялт-ыг	N-ACC;SG	749
хаялт	хаялтаас	хаялт-аас	N-ABL;SG	94
хаялт	хаялтаар	хаялт-аар	N-INS;SG	36
хаялт	хаялттай	хаялт-тай	N-COM;SG	89
хаялт	хаялтаа	хаялт-аа	N-VOC;SG	284
ээлж	ээлжийн	ээлж-ийн	N-GEN;SG	6190
ээлж	ээлжийг	ээлж-ийг	N-ACC;SG	319
ээлж	ээлжээс	ээлж-ээс	N-ABL;SG	59
ээлж	ээлжээр	ээлж-ээр	N-INS;SG	2200
ээлж	ээлжтэй	ээлж-тэй	N-COM;SG	320
ээлж	ээлжээ	ээлж-ээ	N-VOC;SG	179
намтар	намтарт	намтар-т	N-DAT;SG	159
намтар	намтартай	намтар-тай	N-COM;SG	386
хүрээ	хүрээг	хүрээ-г	N-ACC;SG	6861
хүрээ	хүрээтэй	хүрээ-тэй	N-COM;SG	5230
мөрдөлт	мөрдөлтийн	мөрдөлт-ийн	N-GEN;SG	6847
мөрдөлт	мөрдөлтийг	мөрдөлт-ийг	N-ACC;SG	65
мөрдөлт	мөрдөлтөөс	мөрдөлт-өөс	N-ABL;SG	9
мөрдөлт	мөрдөлтөөр	мөрдөлт-өөр	N-INS;SG	1
мөрдөлт	мөрдөлттэй	мөрдөлт-тэй	N-COM;SG	3
мөрдөлт	мөрдөлтөө	мөрдөлт-өө	N-VOC;SG	5
мөрдлөг	мөрдлөгийн	мөрдлөг-ийн	N-GEN;SG	133
мөрдлөг	мөрдлөгт	мөрдлөг-т	N-DAT;SG	16
мөрдлөг	мөрдлөгийг	мөрдлөг-ийг	N-ACC;SG	66
мөрдлөг	мөрдлөгөөс	мөрдлөг-өөс	N-ABL;SG	22
мөрдлөг	мөрдлөгөөр	мөрдлөг-өөр	N-INS;SG	9
мөрдлөг	мөрдлөгтэй	мөрдлөг-тэй	N-COM;SG	6
мөрдлөг	мөрдлөгөө	мөрдлөг-өө	N-VOC;SG	38
өвчин	өвчинд	өвчин-д	N-DAT;SG	2318
өвчин	өвчинтэй	өвчин-тэй	N-COM;SG	2181
төгөл	төгөлд	төгөл-д	N-DAT;SG	98
төгөл	төгөлтэй	төгөл-тэй	N-COM;SG	57
тарилга	тарилгад	тарилга-д	N-DAT;SG	109
тарилга	тарилгатай	тарилга-тай	N-COM;SG	24
тариа	тариаг	тариа-г	N-ACC;SG	895
тариа	тариатай	тариа-тай	N-COM;SG	36
билет	билетийн	билет-ийн	N-GEN;SG	325
билет	билетийг	билет-ийг	N-ACC;SG	251
билет	билетээс	билет-ээс	N-ABL;SG	4
билет	билетээр	билет-ээр	N-INS;SG	41
билет	билеттэй	билет-тэй	N-COM;SG	24
билет	билетээ	билет-ээ	N-VOC;SG	258
арслан	арсланд	арслан-д	N-DAT;SG	61
арслан	арсланг	арслан-г	N-ACC;SG	299
арслан	арслантай	арслан-тай	N-COM;SG	174
хөөрөлт	хөөрөлтийн	хөөрөлт-ийн	N-GEN;SG	40
хөөрөлт	хөөрөлтийг	хөөрөлт-ийг	N-ACC;SG	26
хөөрөлт	хөөрөлтөөс	хөөрөлт-өөс	N-ABL;SG	2
хөөрөлт	хөөрөлтөөр	хөөрөлт-өөр	N-INS;SG	3
хөөрөлт	хөөрөлттэй	хөөрөлт-тэй	N-COM;SG	3
хөөрөлт	хөөрөлтөө	хөөрөлт-өө	N-VOC;SG	1
өсөлт	өсөлтийн	өсөлт-ийн	N-GEN;SG	5592
өсөлт	өсөлтийг	өсөлт-ийг	N-ACC;SG	8695
өсөлт	өсөлтөөс	өсөлт-өөс	N-ABL;SG	1133
өсөлт	өсөлтөөр	өсөлт-өөр	N-INS;SG	356
өсөлт	өсөлттэй	өсөлт-тэй	N-COM;SG	3670
өсөлт	өсөлтөө	өсөлт-өө	N-VOC;SG	659
гэрээ	гэрээг	гэрээ-г	N-ACC;SG	20754
гэрээ	гэрээтэй	гэрээ-тэй	N-COM;SG	2628
элэг	элэгтэй	элэг-тэй	N-COM;SG	961
хавтас	хавтастай	хавтас-тай	N-COM;SG	741
хурдатгал	хурдатгалын	хурдатгал-ын	N-GEN;SG	13
хурдатгал	хурдатгалд	хурдатгал-д	N-DAT;SG	1
хурдатгал	хурдатгалыг	хурдатгал-ыг	N-ACC;SG	13
хурдатгал	хурдатгалаас	хурдатгал-аас	N-ABL;SG	1
хурдатгал	хурдатгалаар	хурдатгал-аар	N-INS;SG	2
хурдатгал	хурдатгалтай	хурдатгал-тай	N-COM;SG	14
хурдатгал	хурдатгалаа	хурдатгал-аа	N-VOC;SG	1
хурд	хурдыг	хурд-ыг	N-ACC;SG	2079
хурд	хурдаар	хурд-аар	N-INS;SG	1824
хурд	хурдтай	хурд-тай	N-COM;SG	7091
хурд	хурдаа	хурд-аа	N-VOC;SG	1201
хурдасгагч	хурдасгагчийн	хурдасгагч-ийн	N-GEN;SG	4
хурдасгагч	хурдасгагчийг	хурдасгагч-ийг	N-ACC;SG	5
хурдасгагч	хурдасгагчаас	хурдасгагч-аас	N-ABL;SG	1
хурдасгагч	хурдасгагчаар	хурдасгагч-аар	N-INS;SG	3
хурдасгагч	хурдасгагчтай	хурдасгагч-тай	N-COM;SG	5
хурдасгагч	хурдасгагчаа	хурдасгагч-аа	N-VOC;SG	1
худалдаа	худалдааг	худалдаа-г	N-ACC;SG	5441
худалдаа	худалдаатай	худалдаа-тай	N-COM;SG	240
арилжаа	арилжааг	арилжаа-г	N-ACC;SG	2142
арилжаа	арилжаатай	арилжаа-тай	N-COM;SG	48
наймаа	наймааг	наймаа-г	N-ACC;SG	562
наймаа	наймаатай	наймаа-тай	N-COM;SG	321
ялагдагч	ялагдагчийн	ялагдагч-ийн	N-GEN;SG	10
ялагдагч	ялагдагчийг	ялагдагч-ийг	N-ACC;SG	7
ялагдагч	ялагдагчаас	ялагдагч-аас	N-ABL;SG	1
ялагдагч	ялагдагчаар	ялагдагч-аар	N-INS;SG	12
ялагдагч	ялагдагчтай	ялагдагч-тай	N-COM;SG	2
ялагдагч	ялагдагчаа	ялагдагч-аа	N-VOC;SG	1
шийр	шийрийн	шийр-ийн	N-GEN;SG	4
шийр	шийрт	шийр-т	N-DAT;SG	2
шийр	шийрийг	шийр-ийг	N-ACC;SG	75
шийр	шийрээс	шийр-ээс	N-ABL;SG	1
шийр	шийрээр	шийр-ээр	N-INS;SG	3
шийр	шийртэй	шийр-тэй	N-COM;SG	32
шийр	шийрээ	шийр-ээ	N-VOC;SG	2
түлээчин	түлээчинд	түлээчин-д	N-DAT;SG	1
түлээчин	түлээчинтэй	түлээчин-тэй	N-COM;SG	1
хууль	хуульд	хууль-д	N-DAT;SG	70350
хууль	хуулиас	хуули-ас	N-ABL;SG	2911
хууль	хуулиар	хуули-ар	N-INS;SG	114661
хууль	хуультай	хууль-тай	N-COM;SG	5051
хууль	хуулиа	хуули-а	N-VOC;SG	6752
ээж	ээжийн	ээж-ийн	N-GEN;SG	5030
ээж	ээжийг	ээж-ийг	N-ACC;SG	1669
ээж	ээжээс	ээж-ээс	N-ABL;SG	693
ээж	ээжээр	ээж-ээр	N-INS;SG	76
ээж	ээжтэй	ээж-тэй	N-COM;SG	1062
ээж	ээжээ	ээж-ээ	N-VOC;SG	884
машин	машины	машин-ы	N-GEN;SG	17948
машин	машинд	машин-д	N-DAT;SG	4252
машин	машиныг	машин-ыг	N-ACC;SG	5906
машин	машинаас	машин-аас	N-ABL;SG	1806
машин	машинаар	машин-аар	N-INS;SG	4086
машин	машинтай	машин-тай	N-COM;SG	3784
машин	машинаа	машин-аа	N-VOC;SG	3848
загвар	загварын	загвар-ын	N-GEN;SG	21148
загвар	загварт	загвар-т	N-DAT;SG	1422
загвар	загварыг	загвар-ыг	N-ACC;SG	12345
загвар	загвараас	загвар-аас	N-ABL;SG	662
загвар	загвараар	загвар-аар	N-INS;SG	2014
загвар	загвартай	загвар-тай	N-COM;SG	2095
загвар	загвараа	загвар-аа	N-VOC;SG	990
илбэчин	илбэчинд	илбэчин-д	N-DAT;SG	34
илбэчин	илбэчинтэй	илбэчин-тэй	N-COM;SG	4
бүтээл	бүтээлийн	бүтээл-ийн	N-GEN;SG	16519
бүтээл	бүтээлд	бүтээл-д	N-DAT;SG	4309
бүтээл	бүтээлийг	бүтээл-ийг	N-ACC;SG	11784
бүтээл	бүтээлээс	бүтээл-ээс	N-ABL;SG	1593
бүтээл	бүтээлээр	бүтээл-ээр	N-INS;SG	2615
бүтээл	бүтээлтэй	бүтээл-тэй	N-COM;SG	6243
бүтээл	бүтээлээ	бүтээл-ээ	N-VOC;SG	8127
үйлдвэрлэл	үйлдвэрлэлийн	үйлдвэрлэл-ийн	N-GEN;SG	34536
үйлдвэрлэл	үйлдвэрлэлд	үйлдвэрлэл-д	N-DAT;SG	4769
үйлдвэрлэл	үйлдвэрлэлийг	үйлдвэрлэл-ийг	N-ACC;SG	9658
үйлдвэрлэл	үйлдвэрлэлээс	үйлдвэрлэл-ээс	N-ABL;SG	624
үйлдвэрлэл	үйлдвэрлэлээр	үйлдвэрлэл-ээр	N-INS;SG	842
үйлдвэрлэл	үйлдвэрлэлтэй	үйлдвэрлэл-тэй	N-COM;SG	306
үйлдвэрлэл	үйлдвэрлэлээ	үйлдвэрлэл-ээ	N-VOC;SG	2514
өд	өдийг	өд-ийг	N-ACC;SG	2601
өд	өдөөр	өд-өөр	N-INS;SG	40
өд	өдтэй	өд-тэй	N-COM;SG	69
өд	өдөө	өд-өө	N-VOC;SG	92
шууданч	шууданчийн	шууданч-ийн	N-GEN;SG	8
шууданч	шууданчийг	шууданч-ийг	N-ACC;SG	2
шууданч	шууданчаас	шууданч-аас	N-ABL;SG	1
шууданч	шууданчаар	шууданч-аар	N-INS;SG	1
шууданч	шууданчтай	шууданч-тай	N-COM;SG	1
шууданч	шууданчаа	шууданч-аа	N-VOC;SG	1
хошууч	хошуучийн	хошууч-ийн	N-GEN;SG	19
хошууч	хошуучийг	хошууч-ийг	N-ACC;SG	13
хошууч	хошуучаас	хошууч-аас	N-ABL;SG	10
хошууч	хошуучаар	хошууч-аар	N-INS;SG	1
хошууч	хошуучтай	хошууч-тай	N-COM;SG	8
хошууч	хошуучаа	хошууч-аа	N-VOC;SG	9
долгио	долгиог	долгио-г	N-ACC;SG	3
долгио	долгиотой	долгио-той	N-COM;SG	10
долгион	долгионы	долгион-ы	N-GEN;SG	2484
долгион	долгионд	долгион-д	N-DAT;SG	52
долгион	долгионыг	долгион-ыг	N-ACC;SG	317
долгион	долгионоос	долгион-оос	N-ABL;SG	71
долгион	долгионоор	долгион-оор	N-INS;SG	262
долгион	долгионтой	долгион-той	N-COM;SG	161
долгион	долгионоо	долгион-оо	N-VOC;SG	12
хүү	хүүд	хүү-д	N-DAT;SG	2421
хүү	хүүг	хүү-г	N-ACC;SG	14534
хүү	хүүтэй	хүү-тэй	N-COM;SG	16102
хөвгүүн	хөвгүүний	хөвгүүн-ий	N-GEN;SG	166
хөвгүүн	хөвгүүнд	хөвгүүн-д	N-DAT;SG	70
хөвгүүн	хөвгүүнийг	хөвгүүн-ийг	N-ACC;SG	143
хөвгүүн	хөвгүүнээс	хөвгүүн-ээс	N-ABL;SG	25
хөвгүүн	хөвгүүнээр	хөвгүүн-ээр	N-INS;SG	3
хөвгүүн	хөвгүүнтэй	хөвгүүн-тэй	N-COM;SG	108
хөвгүүн	хөвгүүнээ	хөвгүүн-ээ	N-VOC;SG	32
зөрчигч	зөрчигчийн	зөрчигч-ийн	N-GEN;SG	20
зөрчигч	зөрчигчийг	зөрчигч-ийг	N-ACC;SG	48
зөрчигч	зөрчигчөөс	зөрчигч-өөс	N-ABL;SG	6
зөрчигч	зөрчигчөөр	зөрчигч-өөр	N-INS;SG	1
зөрчигч	зөрчигчтэй	зөрчигч-тэй	N-COM;SG	3
зөрчигч	зөрчигчөө	зөрчигч-өө	N-VOC;SG	1
завхрал	завхралын	завхрал-ын	N-GEN;SG	85
завхрал	завхралд	завхрал-д	N-DAT;SG	50
завхрал	завхралыг	завхрал-ыг	N-ACC;SG	205
завхрал	завхралаас	завхрал-аас	N-ABL;SG	36
завхрал	завхралаар	завхрал-аар	N-INS;SG	3
завхрал	завхралтай	завхрал-тай	N-COM;SG	10
завхрал	завхралаа	завхрал-аа	N-VOC;SG	24
модель	модельд	модель-д	N-DAT;SG	29
модель	моделиос	модели-ос	N-ABL;SG	18
модель	моделиор	модели-ор	N-INS;SG	201
модель	модельтой	модель-той	N-COM;SG	26
модель	моделио	модели-о	N-VOC;SG	36
бичээч	бичээчийн	бичээч-ийн	N-GEN;SG	112
бичээч	бичээчийг	бичээч-ийг	N-ACC;SG	9
бичээч	бичээчээс	бичээч-ээс	N-ABL;SG	10
бичээч	бичээчээр	бичээч-ээр	N-INS;SG	61
бичээч	бичээчтэй	бичээч-тэй	N-COM;SG	13
бичээч	бичээчээ	бичээч-ээ	N-VOC;SG	29
үйлдвэрлэгч	үйлдвэрлэгчийн	үйлдвэрлэгч-ийн	N-GEN;SG	1047
үйлдвэрлэгч	үйлдвэрлэгчийг	үйлдвэрлэгч-ийг	N-ACC;SG	111
үйлдвэрлэгч	үйлдвэрлэгчээс	үйлдвэрлэгч-ээс	N-ABL;SG	368
үйлдвэрлэгч	үйлдвэрлэгчээр	үйлдвэрлэгч-ээр	N-INS;SG	63
үйлдвэрлэгч	үйлдвэрлэгчтэй	үйлдвэрлэгч-тэй	N-COM;SG	110
үйлдвэрлэгч	үйлдвэрлэгчээ	үйлдвэрлэгч-ээ	N-VOC;SG	249
хөнгөлөлт	хөнгөлөлтийн	хөнгөлөлт-ийн	N-GEN;SG	1309
хөнгөлөлт	хөнгөлөлтийг	хөнгөлөлт-ийг	N-ACC;SG	1263
хөнгөлөлт	хөнгөлөлтөөс	хөнгөлөлт-өөс	N-ABL;SG	41
хөнгөлөлт	хөнгөлөлтөөр	хөнгөлөлт-өөр	N-INS;SG	98
хөнгөлөлт	хөнгөлөлттэй	хөнгөлөлт-тэй	N-COM;SG	11643
хөнгөлөлт	хөнгөлөлтөө	хөнгөлөлт-өө	N-VOC;SG	84
унжлага	унжлагад	унжлага-д	N-DAT;SG	9
унжлага	унжлагатай	унжлага-тай	N-COM;SG	58
цацаг	цацагт	цацаг-т	N-DAT;SG	304
цацаг	цацагтай	цацаг-тай	N-COM;SG	35
уран	ураны	уран-ы	N-GEN;SG	2697
уран	уранд	уран-д	N-DAT;SG	19
уран	ураныг	уран-ыг	N-ACC;SG	310
уран	уранаас	уран-аас	N-ABL;SG	46
уран	уранаар	уран-аар	N-INS;SG	73
уран	урантай	уран-тай	N-COM;SG	40
уран	уранаа	уран-аа	N-VOC;SG	97
хэрэглээ	хэрэглээг	хэрэглээ-г	N-ACC;SG	9879
хэрэглээ	хэрэглээтэй	хэрэглээ-тэй	N-COM;SG	1109
эдэлгээ	эдэлгээг	эдэлгээ-г	N-ACC;SG	122
эдэлгээ	эдэлгээтэй	эдэлгээ-тэй	N-COM;SG	412
биелэлт	биелэлтийн	биелэлт-ийн	N-GEN;SG	987
биелэлт	биелэлтийг	биелэлт-ийг	N-ACC;SG	4715
биелэлт	биелэлтээс	биелэлт-ээс	N-ABL;SG	13
биелэлт	биелэлтээр	биелэлт-ээр	N-INS;SG	51
биелэлт	биелэлттэй	биелэлт-тэй	N-COM;SG	643
биелэлт	биелэлтээ	биелэлт-ээ	N-VOC;SG	68
хэрэгжилт	хэрэгжилтийн	хэрэгжилт-ийн	N-GEN;SG	8028
хэрэгжилт	хэрэгжилтийг	хэрэгжилт-ийг	N-ACC;SG	20305
хэрэгжилт	хэрэгжилтээс	хэрэгжилт-ээс	N-ABL;SG	86
хэрэгжилт	хэрэгжилтээр	хэрэгжилт-ээр	N-INS;SG	106
хэрэгжилт	хэрэгжилттэй	хэрэгжилт-тэй	N-COM;SG	1299
хэрэгжилт	хэрэгжилтээ	хэрэгжилт-ээ	N-VOC;SG	87
далайчин	далайчинд	далайчин-д	N-DAT;SG	4
далайчин	далайчинтай	далайчин-тай	N-COM;SG	5
илэрхийлэл	илэрхийлэлд	илэрхийлэл-д	N-DAT;SG	50
илэрхийлэл	илэрхийлэлтэй	илэрхийлэл-тэй	N-COM;SG	41
бариач	бариачийн	бариач-ийн	N-GEN;SG	4
бариач	бариачийг	бариач-ийг	N-ACC;SG	1
бариач	бариачаас	бариач-аас	N-ABL;SG	1
бариач	бариачаар	бариач-аар	N-INS;SG	2
бариач	бариачтай	бариач-тай	N-COM;SG	2
бариач	бариачаа	бариач-аа	N-VOC;SG	1
илээч	илээчийн	илээч-ийн	N-GEN;SG	1
илээч	илээчийг	илээч-ийг	N-ACC;SG	1
илээч	илээчээс	илээч-ээс	N-ABL;SG	1
илээч	илээчээр	илээч-ээр	N-INS;SG	1
илээч	илээчтэй	илээч-тэй	N-COM;SG	1
илээч	илээчээ	илээч-ээ	N-VOC;SG	1
суутгал	суутгалын	суутгал-ын	N-GEN;SG	24
суутгал	суутгалд	суутгал-д	N-DAT;SG	15
суутгал	суутгалыг	суутгал-ыг	N-ACC;SG	31
суутгал	суутгалаас	суутгал-аас	N-ABL;SG	1
суутгал	суутгалаар	суутгал-аар	N-INS;SG	1
суутгал	суутгалтай	суутгал-тай	N-COM;SG	1
суутгал	суутгалаа	суутгал-аа	N-VOC;SG	9
нэхий	нэхийд	нэхий-д	N-DAT;SG	6
нэхий	нэхийтэй	нэхий-тэй	N-COM;SG	5
хямдрал	хямдралын	хямдрал-ын	N-GEN;SG	278
хямдрал	хямдралд	хямдрал-д	N-DAT;SG	28
хямдрал	хямдралыг	хямдрал-ыг	N-ACC;SG	114
хямдрал	хямдралаас	хямдрал-аас	N-ABL;SG	15
хямдрал	хямдралаар	хямдрал-аар	N-INS;SG	34
хямдрал	хямдралтай	хямдрал-тай	N-COM;SG	2205
хямдрал	хямдралаа	хямдрал-аа	N-VOC;SG	42
зуучлагч	зуучлагчийн	зуучлагч-ийн	N-GEN;SG	629
зуучлагч	зуучлагчийг	зуучлагч-ийг	N-ACC;SG	134
зуучлагч	зуучлагчаас	зуучлагч-аас	N-ABL;SG	16
зуучлагч	зуучлагчаар	зуучлагч-аар	N-INS;SG	118
зуучлагч	зуучлагчтай	зуучлагч-тай	N-COM;SG	35
зуучлагч	зуучлагчаа	зуучлагч-аа	N-VOC;SG	4
тавилга	тавилгад	тавилга-д	N-DAT;SG	20
тавилга	тавилгатай	тавилга-тай	N-COM;SG	7287
шан	шанд	шан-д	N-DAT;SG	1073
шан	шанг	шан-г	N-ACC;SG	293
шан	шантай	шан-тай	N-COM;SG	2
өсгөлт	өсгөлтийн	өсгөлт-ийн	N-GEN;SG	2
өсгөлт	өсгөлтийг	өсгөлт-ийг	N-ACC;SG	4
өсгөлт	өсгөлтөөс	өсгөлт-өөс	N-ABL;SG	1
өсгөлт	өсгөлтөөр	өсгөлт-өөр	N-INS;SG	2
өсгөлт	өсгөлттэй	өсгөлт-тэй	N-COM;SG	1
өсгөлт	өсгөлтөө	өсгөлт-өө	N-VOC;SG	1
шүршигч	шүршигчийн	шүршигч-ийн	N-GEN;SG	9
шүршигч	шүршигчийг	шүршигч-ийг	N-ACC;SG	13
шүршигч	шүршигчээс	шүршигч-ээс	N-ABL;SG	1
шүршигч	шүршигчээр	шүршигч-ээр	N-INS;SG	5
шүршигч	шүршигчтэй	шүршигч-тэй	N-COM;SG	10
шүршигч	шүршигчээ	шүршигч-ээ	N-VOC;SG	1
дүүжлүүр	дүүжлүүрийн	дүүжлүүр-ийн	N-GEN;SG	27
дүүжлүүр	дүүжлүүрт	дүүжлүүр-т	N-DAT;SG	20
дүүжлүүр	дүүжлүүрийг	дүүжлүүр-ийг	N-ACC;SG	4
дүүжлүүр	дүүжлүүрээс	дүүжлүүр-ээс	N-ABL;SG	9
дүүжлүүр	дүүжлүүрээр	дүүжлүүр-ээр	N-INS;SG	1
дүүжлүүр	дүүжлүүртэй	дүүжлүүр-тэй	N-COM;SG	1
дүүжлүүр	дүүжлүүрээ	дүүжлүүр-ээ	N-VOC;SG	2
зүүлт	зүүлтийн	зүүлт-ийн	N-GEN;SG	25
зүүлт	зүүлтийг	зүүлт-ийг	N-ACC;SG	169
зүүлт	зүүлтээс	зүүлт-ээс	N-ABL;SG	3
зүүлт	зүүлтээр	зүүлт-ээр	N-INS;SG	27
зүүлт	зүүлттэй	зүүлт-тэй	N-COM;SG	120
зүүлт	зүүлтээ	зүүлт-ээ	N-VOC;SG	61
томуу	томууг	томуу-г	N-ACC;SG	92
томуу	томуутай	томуу-тай	N-COM;SG	97
агуулах	агуулахын	агуулах-ын	N-GEN;SG	1393
агуулах	агуулахыг	агуулах-ыг	N-ACC;SG	274
агуулах	агуулахаас	агуулах-аас	N-ABL;SG	254
агуулах	агуулахаар	агуулах-аар	N-INS;SG	33
агуулах	агуулахтай	агуулах-тай	N-COM;SG	171
агуулах	агуулахаа	агуулах-аа	N-VOC;SG	22
даамжрал	даамжралын	даамжрал-ын	N-GEN;SG	1
даамжрал	даамжралд	даамжрал-д	N-DAT;SG	1
даамжрал	даамжралыг	даамжрал-ыг	N-ACC;SG	6
даамжрал	даамжралаас	даамжрал-аас	N-ABL;SG	1
даамжрал	даамжралаар	даамжрал-аар	N-INS;SG	1
даамжрал	даамжралтай	даамжрал-тай	N-COM;SG	1
даамжрал	даамжралаа	даамжрал-аа	N-VOC;SG	1
цэцэрлэг	цэцэрлэгийн	цэцэрлэг-ийн	N-GEN;SG	20637
цэцэрлэг	цэцэрлэгт	цэцэрлэг-т	N-DAT;SG	18821
цэцэрлэг	цэцэрлэгийг	цэцэрлэг-ийг	N-ACC;SG	2076
цэцэрлэг	цэцэрлэгээс	цэцэрлэг-ээс	N-ABL;SG	670
цэцэрлэг	цэцэрлэгээр	цэцэрлэг-ээр	N-INS;SG	272
цэцэрлэг	цэцэрлэгтэй	цэцэрлэг-тэй	N-COM;SG	986
цэцэрлэг	цэцэрлэгээ	цэцэрлэг-ээ	N-VOC;SG	158
дэлбэрэлт	дэлбэрэлтийн	дэлбэрэлт-ийн	N-GEN;SG	472
дэлбэрэлт	дэлбэрэлтийг	дэлбэрэлт-ийг	N-ACC;SG	116
дэлбэрэлт	дэлбэрэлтээс	дэлбэрэлт-ээс	N-ABL;SG	151
дэлбэрэлт	дэлбэрэлтээр	дэлбэрэлт-ээр	N-INS;SG	40
дэлбэрэлт	дэлбэрэлттэй	дэлбэрэлт-тэй	N-COM;SG	23
дэлбэрэлт	дэлбэрэлтээ	дэлбэрэлт-ээ	N-VOC;SG	4
тэсрэлт	тэсрэлтийн	тэсрэлт-ийн	N-GEN;SG	398
тэсрэлт	тэсрэлтийг	тэсрэлт-ийг	N-ACC;SG	72
тэсрэлт	тэсрэлтээс	тэсрэлт-ээс	N-ABL;SG	88
тэсрэлт	тэсрэлтээр	тэсрэлт-ээр	N-INS;SG	31
тэсрэлт	тэсрэлттэй	тэсрэлт-тэй	N-COM;SG	121
тэсрэлт	тэсрэлтээ	тэсрэлт-ээ	N-VOC;SG	10
шаталт	шаталтын	шаталт-ын	N-GEN;SG	390
шаталт	шаталтыг	шаталт-ыг	N-ACC;SG	107
шаталт	шаталтаас	шаталт-аас	N-ABL;SG	97
шаталт	шаталтаар	шаталт-аар	N-INS;SG	5
шаталт	шаталттай	шаталт-тай	N-COM;SG	162
шаталт	шаталтаа	шаталт-аа	N-VOC;SG	1
эвсэл	эвсэлд	эвсэл-д	N-DAT;SG	580
эвсэл	эвсэлтэй	эвсэл-тэй	N-COM;SG	248
нийгэмлэг	нийгэмлэгийн	нийгэмлэг-ийн	N-GEN;SG	8222
нийгэмлэг	нийгэмлэгт	нийгэмлэг-т	N-DAT;SG	871
нийгэмлэг	нийгэмлэгийг	нийгэмлэг-ийг	N-ACC;SG	503
нийгэмлэг	нийгэмлэгээс	нийгэмлэг-ээс	N-ABL;SG	1057
нийгэмлэг	нийгэмлэгээр	нийгэмлэг-ээр	N-INS;SG	35
нийгэмлэг	нийгэмлэгтэй	нийгэмлэг-тэй	N-COM;SG	625
нийгэмлэг	нийгэмлэгээ	нийгэмлэг-ээ	N-VOC;SG	12
самуун	самууны	самуун-ы	N-GEN;SG	356
самуун	самуунд	самуун-д	N-DAT;SG	574
самуун	самууныг	самуун-ыг	N-ACC;SG	559
самуун	самуунаас	самуун-аас	N-ABL;SG	72
самуун	самуунаар	самуун-аар	N-INS;SG	28
самуун	самуунтай	самуун-тай	N-COM;SG	187
самуун	самуунаа	самуун-аа	N-VOC;SG	6
төөрөгдөл	төөрөгдөлд	төөрөгдөл-д	N-DAT;SG	489
төөрөгдөл	төөрөгдөлтэй	төөрөгдөл-тэй	N-COM;SG	16
зохицол	зохицолд	зохицол-д	N-DAT;SG	60
зохицол	зохицолтой	зохицол-той	N-COM;SG	106
таарамж	таарамжийн	таарамж-ийн	N-GEN;SG	2
таарамж	таарамжийг	таарамж-ийг	N-ACC;SG	7
таарамж	таарамжаас	таарамж-аас	N-ABL;SG	3
таарамж	таарамжаар	таарамж-аар	N-INS;SG	1
таарамж	таарамжтай	таарамж-тай	N-COM;SG	75
таарамж	таарамжаа	таарамж-аа	N-VOC;SG	1
нээлт	нээлтийн	нээлт-ийн	N-GEN;SG	13413
нээлт	нээлтийг	нээлт-ийг	N-ACC;SG	2260
нээлт	нээлтээс	нээлт-ээс	N-ABL;SG	193
нээлт	нээлтээр	нээлт-ээр	N-INS;SG	479
нээлт	нээлттэй	нээлт-тэй	N-COM;SG	53617
нээлт	нээлтээ	нээлт-ээ	N-VOC;SG	17448
хагацал	хагацалд	хагацал-д	N-DAT;SG	26
хагацал	хагацалтай	хагацал-тай	N-COM;SG	29
салалт	салалтын	салалт-ын	N-GEN;SG	612
салалт	салалтыг	салалт-ыг	N-ACC;SG	123
салалт	салалтаас	салалт-аас	N-ABL;SG	175
салалт	салалтаар	салалт-аар	N-INS;SG	60
салалт	салалттай	салалт-тай	N-COM;SG	15
салалт	салалтаа	салалт-аа	N-VOC;SG	22
хуваагдал	хуваагдалд	хуваагдал-д	N-DAT;SG	44
хуваагдал	хуваагдалтай	хуваагдал-тай	N-COM;SG	27
уурхайчин	уурхайчинд	уурхайчин-д	N-DAT;SG	8
уурхайчин	уурхайчинтай	уурхайчин-тай	N-COM;SG	4
тахал	тахалд	тахал-д	N-DAT;SG	46
